equation,x0,y0,target_x,step_size
x + y,0.0,1.0,0.3,0.1
log(x + y),0.0,1.0,0.3,0.1
log(x - y),0.0,1.0,0.3,0.1
x + 2*y,0.0,1.0,0.9,0.3
log(x) + log(y),0.0,1.0,0.3,0.1
sin(x) + cos(y),0.0,1.0,0.4,0.05
sin(x + y),0.0,1.0,2.0,0.2
pi*x + exp(y),0.0,1.0,0.3,0.03
x**2 - 2*y,0.0,3.0,0.7,0.1
sin(x - y),0.0,1.0,0.5,0.25
sin(x + y),0.0,3.0,0.6,0.2
log(x + y),0.0,5.0,0.95,0.05
log(x - y + pi),0.0,1.0,0.3,0.1
log(x + y - 1.2),0.0,1.0,2.0,0.4
exp(-x*y),0.0,1.0,0.6,0.2
x - exp(y),0.0,2.0,0.3,0.05
-y + exp(x),1.0,2.0,0.7,0.035
x + y,1.0,3.0,0.5,0.2
